epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,-0.008478331,0.23815285,3.102672,1.6772566,10.0,-1.8333454,0.3301593249819059,50.0,0.41914431019854853
1,-0.0007473794,0.23272744,3.1200876,1.6700088,20.0,-1.4737539,0.30271876941964665,100.0,0.33149389050410016
