# {"t_start": 1540316756.5484788, "env_id": "Arm-v0"} 
r,l,t
-50.0,50,0.953655
-50.0,50,1.524957
-49.0,50,2.010583
-46.0,50,2.564267
-49.0,50,3.147769
-49.0,50,3.678337
-48.0,50,4.14965
-35.0,50,4.539263
-46.0,50,4.894163
-49.0,50,5.221175
-40.0,50,5.600315
-46.0,50,5.980369
-40.0,50,6.403679
-49.0,50,6.97159
-50.0,50,7.518755
-45.0,50,8.081486
-41.0,50,8.592308
-47.0,50,9.046587
-34.0,50,9.410793
-47.0,50,9.780428
-48.0,50,10.386788
-50.0,50,11.028356
-48.0,50,11.457311
-46.0,50,11.774632
-36.0,50,12.10832
-31.0,50,12.463369
-44.0,50,12.951435
-48.0,50,13.395126
-47.0,50,13.885265
-42.0,50,14.292955
-45.0,50,14.723306
-48.0,50,15.077353
-39.0,50,15.446792
-46.0,50,15.792584
-50.0,50,16.095915
-49.0,50,16.407545
-44.0,50,16.73992
-44.0,50,17.049223
-43.0,50,17.376348
-50.0,50,17.702618
-46.0,50,18.023293
-46.0,50,18.341279
-43.0,50,18.648315
-33.0,50,19.026501
-41.0,50,19.517009
-41.0,50,19.945699
-50.0,50,20.349866
-48.0,50,20.694229
-43.0,50,21.004023
-36.0,50,21.308337
-49.0,50,21.6914
-49.0,50,21.740051
-47.0,50,21.78891
-48.0,50,21.837354
-42.0,50,21.88572
-42.0,50,21.939022
-49.0,50,21.994091
-46.0,50,22.04883
-42.0,50,22.116462
-46.0,50,22.191489
-48.0,50,22.311949
-49.0,50,22.764313
-48.0,50,23.292861
-40.0,50,23.794968
-38.0,50,24.343261
-43.0,50,24.845735
-41.0,50,25.305444
-50.0,50,25.652044
-47.0,50,25.993253
-40.0,50,26.30827
-45.0,50,26.652782
-41.0,50,27.178627
-45.0,50,27.711934
-35.0,50,28.262373
-50.0,50,28.757029
-50.0,50,29.315337
-43.0,50,29.91853
-41.0,50,30.404608
-48.0,50,30.978158
-34.0,50,31.472629
-30.0,50,31.954741
-49.0,50,32.398784
-37.0,50,32.813392
-39.0,50,33.253629
-48.0,50,33.652159
-45.0,50,34.057544
-49.0,50,34.430224
-48.0,50,34.762257
-49.0,50,35.070676
-25.0,50,35.398187
-46.0,50,35.889387
-48.0,50,36.248443
-34.0,50,36.562558
-41.0,50,36.894382
-31.0,50,37.261278
-35.0,50,37.749475
-44.0,50,38.186056
-48.0,50,38.546048
-30.0,50,38.97098
-30.0,50,39.362134
-37.0,50,39.802411
-49.0,50,40.190595
-44.0,50,40.598257
-28.0,50,41.006469
-44.0,50,41.376443
-49.0,50,41.819484
-31.0,50,42.290821
-49.0,50,42.777705
-48.0,50,43.246998
-50.0,50,43.652617
-49.0,50,44.086871
-16.0,50,44.166055
-5.0,50,44.238954
-26.0,50,44.311561
0.0,50,44.386853
-38.0,50,44.450348
-46.0,50,44.510725
-35.0,50,44.568375
-30.0,50,44.622471
-32.0,50,44.676403
-50.0,50,44.724385
-42.0,50,45.064627
-47.0,50,45.484164
-34.0,50,45.884639
-38.0,50,46.329088
-24.0,50,46.893381
-45.0,50,47.287123
-48.0,50,47.763592
-46.0,50,48.399879
-41.0,50,49.05845
-42.0,50,49.619175
-43.0,50,50.280493
-35.0,50,50.876714
-47.0,50,51.474116
-37.0,50,51.992125
-50.0,50,52.533322
-14.0,50,52.974163
-29.0,50,53.350269
-46.0,50,53.747026
-37.0,50,54.062757
-32.0,50,54.566359
-46.0,50,55.091157
-48.0,50,55.407439
-20.0,50,55.71772
-49.0,50,56.066007
