# {"env_id": "FetchReachAct-v1", "t_start": 1538338159.6018395} 
r,l,t
-46.0,50,2.559258
-50.0,50,4.827115
-50.0,50,7.111206
-50.0,50,9.411932
-50.0,50,11.7117
-50.0,50,13.997301
-50.0,50,16.292897
-50.0,50,18.612591
-43.0,50,20.895205
-50.0,50,23.211996
-50.0,50,25.528571
-50.0,50,27.827173
-50.0,50,30.078638
-50.0,50,32.377008
