epoch,stats_g/mean,stats_g/std,stats_o/mean,stats_o/std,test/episode,test/mean_Q,test/success_rate,train/episode,train/success_rate
0,0.72635776,0.35905612,0.087717034,0.39110485,10.0,-3.3506818,0.5793859294313929,50.0,0.7200306031056156
1,0.7162275,0.35970974,0.09010532,0.3888186,20.0,-5.047145,0.5105964453403493,100.0,0.73541072788934
2,0.7381258,0.36645088,0.09995971,0.39242604,30.0,-6.8724823,0.6426209483251547,150.0,0.6563074193896026
3,0.73773503,0.37322572,0.10829458,0.39502248,40.0,-8.169442,0.49050215506233225,200.0,0.6874432179968987
4,0.74252677,0.3766041,0.110327795,0.39609024,50.0,-9.711067,0.4268009088785713,250.0,0.6496769249501588
5,0.7466669,0.3829131,0.11190924,0.3977401,60.0,-10.886827,0.4493025028842025,300.0,0.7547243435842346
